Handle,Titre,Vendeur,Prix_vente,Prix_barre,Economie,Remise_pct,Description,Image,Marque,Type,Categorie
iq300-refrigerateur-integrable-102-5-x-56-cm-charnieres-pantographes-siemens-ki31rvfe0,"iQ300, Réfrigérateur intégrable, 102.5 x 56 cm, charnières pantographes SIEMENS KI31RVFE0",Siemens,757.0,904.68,147.68,16.0,"iQ300, Réfrigérateur intégrable, 102.5 x 56 cm, charnières pantographes SIEMENS KI31RVFE0 INFORMATIONS GENERALES Volume total : 165 l Classe d'efficacité énergétique E sur une échelle allant de A à G Consommation énergétique : 96 kWh/an Fixation de porte à pantographe Confort et sécurité Eclairage LED dans le réfrigérateur Régulation électronique avec affichage LED de la température Alarme sonore de porte ouverte REFRIGERATEUR Réfrigérateur : Volume 165 l Super-réfrigération avec arrêt automatique Dégivrage automatique dans le réfrigérateur 4 clayettes en verre de sécurité, dont 3 réglables en",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_7da8fbbf-ab4d-4c9e-9b07-b536802d4b35.png?v=1770904958,Siemens,Réfrigérateur,Non classé
iq500-table-a-induction-60-cm-noir-sans-cadre-siemens-ee611bpb5e,"iQ500, Table à induction, 60 cm, Noir, sans cadre SIEMENS EE611BPB5E",Siemens,407.0,554.68,147.68,27.0,"iQ500, Table à induction, 60 cm, Noir, sans cadre SIEMENS EE611BPB5E Flexibilité des zones de cuisson combiZone : utilisez des ustensiles de cuisson plus grands en combinant deux zones de cuisson en une seule grande zone Zone de cuisson avant gauche : 180 mm, 1.8 kW (PowerBoost 3 kW) Zone de cuisson arrière gauche : 180 mm, 1.8 kW (PowerBoost 3 kW) Zone de cuisson arrière droite : 145 mm , 1.4 kW (PowerBoost 2.2 kW) Zone de cuisson avant droite : 210 mm, 2.2 kW (PowerBoost 3 kW) Confort d'utilisation Commande touchControl (+/-) : contrôlez la puissance à l'aide de boutons tactiles 17 positions",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/iQ500_Tableainduction_60cm_Noir_sanscadreSIEMENSEE611BPB5E.png?v=1768903925,Siemens,Plaque de cuisson,Non classé
iq500-refrigerateur-integrable-82-x-60-cm-charnieres-pantographes-softclose-siemens-ku21rade0,"iQ500, Réfrigérateur encastrable, 82 x 60 cm, Charnières pantographes softClose SIEMENS KU21RADE0",Siemens,757.0,904.68,147.68,16.0,"iQ500, Réfrigérateur encastrable, 82 x 60 cm, Charnières pantographes softClose SIEMENS KU21RADE0 INFORMATIONS GENERALES Volume total : 134 l Classe d'efficacité énergétique E sur une échelle allant de A à G Consommation énergétique : 93 kWh/an Fixation de porte à pantographe Design Plus facile à nettoyer, intérieur lisse Confort et sécurité Régulation électronique avec affichage LED de la température Eclairage LED dans le réfrigérateur Dégivrage automatique dans le réfrigérateur Home Connect Alarme visuelle et sonore de porte ouverte Mode vacances, mode éco, Mode Sabbat REFRIGERATEUR Réfrigér",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/SIEMENSKU21RADE0_12551a9b-f7f4-4e86-a5fa-40827750e2d3.png?v=1767954823,Siemens,Réfrigérateur,Maison et jardin > Arts de la table et arts culinaires > Électroménager de cuisine > Réfrigérateurs
iq500-groupe-filtrant-52-cm-inox-siemens-lb56nac50,"iQ500, Groupe filtrant, 52 cm, Inox SIEMENS LB56NAC50",Siemens,407.0,554.68,147.68,27.0,"iQ500, Groupe filtrant, 52 cm, Inox SIEMENS LB56NAC50 Design: Groupe filtrant 52 cm Cabinet Installation intégrable pour une intégration sans faille dans les placards. En mode évacuation ou recyclage (avec kit en option) Pour l'extraction par recirculation, différents kits de recirculation sont disponibles comme accessoires en option. Caractéristiques principales : Eclairage du plan de travail: 2 x spot LED Température de couleur : 4000 K Intensité lumineuse : 400 lux Moteur à condensateur 1 filtre(s) à graisse métallique(s). Confort d'utilisation : Touches avec affichage digital Touches, vari",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/24820767_lb56nac50_stp_def.jpg?v=1770204574,Siemens,Hotte,Non classé
lit-faye-capitonne-en-ligne-velours-rose-160x200-cm-eurodesign-725r160,LIT FAYE CAPITONNE EN LIGNE VELOURS ROSE 160x200 cm EURODESIGN 725R160,Eurodesign,525.0,672.5,147.5,22.0,Lit Faye Capitonne En Ligne Velours Rose,https://cdn.shopify.com/s/files/1/0982/1428/1557/files/LITFAYECAPITONNEENLIGNEVELOURSROSE160x200cmEURODESIGN725R160.png?v=1770996022,,Literie,Non classé
table-de-cuisson-induction-linea-gris-smeg-sim1643ds,Table de cuisson Induction Linéa Gris SMEG SIM1643DS,SMEG,708.0,855.0,147.0,17.0,"Table de cuisson Induction Linéa Gris SMEG SIM1643DS Informations générales de la table de cuisson : Type : Table de cuisson classique (environ 60 cm) Énergie : Électrique Plaque : Verre Pose / Installation : Encastrable Informations générales sur les foyers de la table de cuisson : Foyers : Table équipée de 4 foyers à induction . Zones combinées : Cette table de cuisson a 2 zones combinées/extensibles "" Multizone "". Ces zones permettent d'utiliser de plus gros plats en fusionnant plusieurs foyers. Zone combinée n°1 : 2 foyers concernés : n°1 et n°2 * Position : à gauche Puissances : de 3000 à",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/TabledecuissonInductionLineaGrisSMEGSIM1643DS.png?v=1772292237,SMEG,Plaque de cuisson,Non classé
refrigerateur-tiroir-de-voiture-encastrable-blanc-indel-b-tb28ambig,"Réfrigérateur tiroir de voiture, Encastrable, Blanc, INDEL B TB28AMBIG",Indel B,669.0,816.0,147.0,18.0,"Réfrigérateur tiroir de voiture, Encastrable, Blanc, INDEL B TB28AMBIG Description: Le TB28AMBIG est un réfrigérateur à chargement par le dessus qui s'intègre parfaitement dans les tiroirs standard sous les couchettes des camions de dernière génération. Pour l'installer, il est extrêmement rapide et facile et ne nécessite aucun outil spécifique. Le refroidissement est assuré par le compresseur amovible hermétiquement fermé SECOP BD1.4F Contrôle, réglage et affichage de la température interne via un affichage numérique lisible Alimentation : 12/24 V DC, avec protection intégrée Plage de tempéra",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Refrigerateurtiroirdevoiture_Encastrable_Blanc_INDELBTB28AMBIG.png?v=1770982476,Indel B,Accessoire,Non classé
congelateur-integrable-serie-6-71-2-cm-blanc-bosch-giv11afe0,Congélateur Intégrable Série 6 71.2 cm Blanc BOSCH GIV11AFE0,Bosch,748.0,894.68,146.68,16.0,"Congélateur Intégrable Série 6 71.2 cm Blanc BOSCH GIV11AFE0 INFORMATIONS GENERALES Volume total : 72 l Classe d'efficacité énergétique E sur une échelle allant de A à G Consommation énergétique : 167 kWh/an Niveau sonore : 36 DB, classe d'efficacité sonore : C Fixation de porte à pantographe Confort et sécurité Technologie LowFrost - moins de glace, dégivrage rapide! Régulation électronique de la température avec indicateur LED Alarme sonore, Alarme visuelle de température CONGELATEUR Congélateur : Volume 72 l Super-congélation avec arrêt automatique Pouvoir de congélation : 4.4 kg en 24h Aut",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_83e29ad0-dbf2-4fc4-8489-577346314f1c.png?v=1769788218,Bosch,Congélateur,Non classé
iq700-table-a-induction-60-cm-noir-sans-cadre-siemens-ex651hxc1f,"iQ700, Table à induction, 60 cm, Noir, sans cadre SIEMENS EX651HXC1F",Siemens,738.0,884.68,146.68,17.0,"iQ700, Table à induction, 60 cm, Noir, sans cadre SIEMENS EX651HXC1F Flexibilité des zones de cuisson 2 zones flexInduction : utilisez des ustensiles de cuisine de toute forme ou taille dans la zone de 40 cm de long. Zone de cuisson avant gauche : 190 mm, 230 mm, 2.2 kW (PowerBoost 3.7 kW) Zone de cuisson arrière gauche : 190 mm, 230 mm, 2.2 kW (PowerBoost 3.7 kW) Zone de cuisson arrière droite : 190 mm, 230 mm , 2.2 kW (PowerBoost 3.7 kW) Zone de cuisson avant droite : 190 mm, 230 mm, 2.2 kW (PowerBoost 3.7 kW) Confort d'utilisation touchSlider : contrôlez directement la puissance avec le sli",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_33a27b6a-2f89-4961-abf0-4923d829701f.png?v=1770808559,Siemens,Plaque de cuisson,Non classé
rape-santos-r02,RAPE - AVEC 1 DISQUE (Trous Ø 3mm) SANTOS 02,Santos,896.0,1042.0,146.0,14.0,"Râpe SANTOS R02 Râpe avec 1 disque trous diamètre 30 mm Possibilité d’acheter pièces détachées : Oui https://shop.euras.com/anfrage.php?g7=2845040N Livré avec 1 disque standard trou ø 3mm (disque de râpe ø 110 mm en acier inox). Sur demande : - Disques trous ø 2, 4, 6, 8 mm - Disques spéciaux pour parmesan et fromage à fondue. Sécurité : - Arrêt du moteur à l'ouverture du tiroir ou de la goulotte d'alimentation. - Protection manque de tension Moteur : Asynchrone 600W avec protecteur thermique intégré. Monophasé 220-240 V - 50/60 Hz - 600 W 100-120 V - 50/60 Hz - 650 W 1500 Tr/mn (50 Hz) - 1800",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Design_sans_titre_6_e2e6cebe-382c-44b1-b282-d963e9174047.png?v=1769596552,,Accessoire,Maison et jardin > Arts de la table et arts culinaires > Électroménager de cuisine > Moulins et hachoirs > Broyeurs de nourriture
refrigerateur-a-absorption-trimixte-177-l-12v-230v-gaz-noire-porte-a-double-charniere-dometic-rmd-10-5xt,"Réfrigérateur à absorption trimixte, 177 L, 12V - 230V-GAZ, noire, porte a double charnière, Dometic RMD 10.5XT",Dometic,2899.0,3045.0,146.0,5.0,"Réfrigérateur à absorption, Dometic RMD10.5XT Ce réfrigérateur vous offre un confort notamment via sa sélection automatique de la source d’énergie (12 V, 230 V ou gaz), une porte qui s’ouvre à gauche et à droite ainsi qu'un intérieur polyvalent avec beaucoup d’espace pour y stocker vos produits frais. Fiche Tchnique Généralités Numéro SKU 9600027265 Modèle RMD10.5XT Modèle sur l'étiquette RMD 10.5XT SKU remplacé par 9620012756 Pièces fournies 1 réfrigérateur guide de démarrage rapide manuel d’utilisation court manuel d’installation Description du produit Réfrigérateur à absorption, 177 l, écra",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Refrigerateuraabsorptiontrimixte_177L_12V-230V-GAZ_noire_porteadoublecharniere_DometicRMD10.5XT.png?v=1772298419,Dometic,Réfrigérateur,Non classé
refrigerateur-portable-dometic-cfx5-35-36l-compression,Dometic CFX5 35 – Réfrigérateur portable à compression 36 L,Dometic,653.0,799.0,146.0,18.0,"✔️ Capacité : 36 L (jusqu'à 56 canettes) ✔️ Refroidit de +20 °C à -22 °C ✔️ Contrôle via application mobile ✔️ Compatible 12/24 V, 230 V et solaire ✔️ Protection batterie 3 niveaux ✔️ Classe énergie B ✔️ Compresseur puissant silencieux ✔️ Garantie 2 ans",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_d68c66c1-a2d7-4ba8-93e2-b07092852358.png?v=1770718963,Dometic,Glacière,Non classé
iq100-table-a-induction-60-cm-siemens-eh631beb6e,"iQ100, Table à induction, 60 cm SIEMENS EH631BEB6E",Siemens,469.0,614.68,145.68,24.0,"iQ100, Table à induction, 60 cm SIEMENS EH631BEB6E Design Design: Biseau avant Flexibilité des zones de cuisson Zone de cuisson avant gauche : 180 mm, 1.8 kW (PowerBoost 3.1 kW) Zone de cuisson arrière gauche : 180 mm, 1.8 kW (PowerBoost 3.1 kW) Zone de cuisson arrière droite : 145 mm , 1.4 kW (PowerBoost 2.2 kW) Zone de cuisson avant droite : 210 mm, 2.2 kW (PowerBoost 3.7 kW) Confort d'utilisation Commande touchControl (+/-) : contrôlez la puissance à l'aide de boutons tactiles 17 positions de réglage : adaptez précisément la puissance sur 17 niveaux (9 niveaux principaux et 8 intermédiaires",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/iQ100_Tableainduction_60cmSIEMENSEH631BEB6E.png?v=1768498695,Siemens,Plaque de cuisson,Non classé
refrigerateur-de-voiture-a-compresseur-encastrable-blanc-indel-b-tb20-am,"Réfrigérateur de voiture à compresseur, Encastrable, Blanc, INDEL B, TB20 AM",Indel B,679.0,824.0,145.0,18.0,"Réfrigérateur de voiture à compresseur, Encastrable, Blanc, INDEL B, TB20 AM Le TB20AM est le seul modèle de réfrigérateur portable construit en hauteur pour les espaces étroits. Grâce à ses dimensions particulières et à sa robustesse, le TB20AM est souvent utilisé, dans les véhicules industriels, comme base pour monter sur la couchette supérieure de la cabine.Il trouve parfaitement sa place auprès du chauffeur, même dans les cars de tourisme. Il fonctionne avec un compresseur Secop (Danfoss) BD35F célèbre pour son efficacité, son silence et sa faible consommation. Le TB20AM est doté de charni",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_b80d3f5a-784b-46d7-96db-2f1a1fb61a9a.png?v=1770990005,Indel B,Réfrigérateur,Non classé
serie-6-hotte-design-integre-90-cm-noir-avec-finition-en-verre-noir-mat-bosch-dbb97dp6,"Série 6, Hotte design intégré, 90 cm, Noir avec finition en verre, Noir mat BOSCH DBB97DP60",Bosch,730.0,874.68,144.68,17.0,"Eco Silence Drive™ : le moteur silencieux, performant et économe pour votre hotte. Smart Hood Automatic : ajuste la vitesse d’aspiration en fonction des réglages de la plaque de cuisson* pour cuisiner sans stress. Espace de rangement maximal : un design en forme de T offrant plus d’espace, et une capacité de charge allant jusqu'à 20 kg. Intégration parfaite : installation encastrée pour un design épuré et discret. Panneau en verre avec DirectSelect : commande tactile intuitive et protection de vos meubles. Design: Installation dans un meuble haut Installation à fleur de surface pour une intégr",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/28664198_DBB97DP60_STP_def.jpg?v=1778878647,,Hotte,Maison et jardin > Arts de la table et arts culinaires > Électroménager de cuisine > Hottes aspirantes
n-70-groupe-filtrant-70-cm-noir-neff-d75nac1s0b,"N 70, Groupe filtrant, 70 cm, Noir NEFF D75NAC1S0B",NEFF,490.0,634.68,144.68,23.0,"N 70, Groupe filtrant, 70 cm, Noir NEFF D75NAC1S0B Design: Groupe filtrant 70 cm Cabinet Installation intégrable pour une intégration sans faille dans les placards. Fonctionnement en mode évacuation ou recyclage Pour l'extraction par recirculation, différents kits de recirculation sont disponibles comme accessoires en option. Caractéristiques principales : Eclairage du plan de travail: 2 x LED de 1 W Température de couleur : 4000 K Intensité lumineuse : 400 lux Moteur à condensateur 2 filtre(s) à graisse métallique(s). Confort d'utilisation : Touches contact avec Affichage LED Touches, avec va",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_25_e3bb2370-1c27-4be4-b067-113acb47b8f4.png?v=1770137890,NEFF,Hotte,Non classé
iq500-hotte-design-integre-90-cm-noir-avec-finition-en-verre-noir-mat-siemens-lj97bdp60,"iQ500, Hotte design intégré, 90 cm, Noir avec finition en verre, Noir mat SIEMENS LJ97BDP60",Siemens,730.0,874.68,144.68,17.0,"Intégration parfaite : installation affleurante pour une intégration presque invisible dans le meuble haut. Moteur iQdrive : capacité exceptionnelle, performances silencieuses et longue durée de vie. Espace de rangement maximal : jusqu'à 10 kg de capacité de rangement de chaque côté de la hotte. Intelligent Hood Automatic : ajuste automatiquement la puissance de la hotte en fonction des réglages de la table de cuisson. Panneau en verre : panneau en verre rabattable, visible uniquement lorsque la hotte est utilisée. Design: Installation dans un meuble haut Installation à fleur de surface pour u",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/26637821_LJ97BDP60_STP_def.jpg?v=1778944898,,Hotte,Maison et jardin > Arts de la table et arts culinaires > Électroménager de cuisine > Hottes aspirantes
serie-2-refrigerateur-integrable-avec-compartiment-congelation-102-5-x-56-cm-bosch-kil32nse0,"Série 2, Réfrigérateur encastrable avec compartiment congélation, 102.5 x 56 cm, BOSCH KIL32NSE0",Bosch,740.0,884.68,144.68,16.0,"Série 2, Réfrigérateur encastrable avec compartiment congélation, 102.5 x 56 cm, BOSCH KIL32NSE0 Possibilité d'acheter pièces détachées : https://shop.euras.com/default.php? g7=2845040N INFORMATIONS GENERALES Volume total : 147 l Réfrigérateur : Volume 132 l Congélateur : Volume 15 l Classe d'efficacité énergétique E sur une échelle allant de A à G Consommation énergétique : 145 kWh/an Niveau sonore : 35 DB, classe d'efficacité sonore : B Fixation de porte par glissières Confort et sécurité Régulation électronique de la température avec indicateur LED Montage facile EasyInstallation REFRIGERAT",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_70f02ff3-880a-4df5-b806-2bceebb06495.png?v=1769857402,Bosch,Réfrigérateur,Non classé
iq500-table-gaz-60-cm-verre-trempe-noir-siemens-ep6a6ci10,"iQ500, Table gaz, 60 cm, Verre trempé, Noir SIEMENS EP6A6CI10",Siemens,400.0,544.68,144.68,27.0,"iQ500, Table gaz, 60 cm, Verre trempé, Noir SIEMENS EP6A6CI10 Design Surface en verre trempé, Noir Semi-fleur de plan de travail : installez la plaque de cuisson à fleur de plan ou légèrement surélevée sur le plan de travail. Supports individuels en fonte Boutons de commande métalliques Confort d'utilisation Technologie stepFlame : ajustez précisément la flamme avec neuf niveaux prédéfinis et reproductibles. Boutons ergonomiques, avant : manettes facilement accessibles à l'avant avec une prise solide pour une rotation sans effort. Allumage électrique une main : vous avez juste à pousser et tou",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/iQ500_Tablegaz_60cm_Verretrempe_NoirSIEMENSEP6A6CI10.png?v=1768499151,Siemens,Plaque de cuisson,Non classé
serie-2-lave-vaisselle-tout-integrable-60-cm-bosch-smv25ex02f-f,"Série 2, Lave-vaisselle tout intégrable, 60 cm BOSCH SMV25EX02F(F)",Bosch,571.0,715.42,144.42,20.0,"Série 2, Lave-vaisselle tout intégrable, 60 cm BOSCH SMV25EX02F(F) Série 2, Lave-vaisselle tout intégrable, 60 cm SMV25EX02F Performance et consommation - Classe d'efficacité énergétique¹ E sur une échelle allant de A à G - Energie² / Eau³ : 94 kWh / 9.5 litres - 13 couverts - Durée progr. Eco⁴ : 3:30 (h:min) - Niveau sonore : 48 dB(A) re 1 pW - Niveau sonore progr. Silence : 46 - Classe d'efficacité sonore : C - Moteur EcoSilence Drive Caractéristiques principales - 5 Programmes : Intensif 70 °C, Normal 65 °C, Eco 50 °C, Silence 50 °C, Verre 40 °C - Option : VarioSpeed Plus (3 fois plus rapid",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Serie2_Lave-vaisselletoutintegrable_60cmBOSCHSMV25EX02F_F.png?v=1772119101,Bosch,Lave-vaisselle,Non classé
congelateur-pose-libre-serie-4-blanc-bosch-gsv29vwev,Congélateur Pose-Libre Série 4 Blanc BOSCH GSV29VWEV(F),Bosch,650.0,794.24,144.24,18.0,"Congélateur Pose-Libre Série 4 Blanc BOSCH GSV29VWEV(F) INFORMATIONS GENERALES : Volume utile total : 198 l Classe d'efficacité énergétique A++ sur une échelle allant de A+++ à D Consommation énergétique : 194 kWh/an Design : Porte blanche, côtés blancs Poignée verticale Confort et sécurité : Régulation électronique de la température avec indicateur LED FreshSense : température constante par technologie de capteurs intelligents Système d'ouverture facile EasyOpening par canal de dépressurisation Canal d'écoulement de l'eau de décongélation Alarme sonore de porte ouverte Alarme visuelle et sono",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_1d54c2df-bd49-49c5-8c7b-1771f07f92f8.png?v=1771515323,Bosch,Congélateur,Non classé
refrigerateur-congelateur-table-top-glem-grtf11a,Réfrigérateur congélateur table top Glem GRTF11A,Glem,286.0,430.0,144.0,33.0,"Réfrigérateur congélateur table top Glem GRTF11A Caractéristiques • Volume brut/utile total : 121/113 L • Éclairage intérieur LED • Porte réversible • 1 compresseur • Thermostat manuel 6 positions • Réfrigérant R600a : 0,027 kg • Niveau sonore : 39 dB(A) - classe C Réfrigérateur • Volume utile total : 97 L • Dégivrage manuel • 2 clayettes en verre de sécurité • 1 bac à légumes • 3 balconnets dont 1 porte-bouteilles • 1 support œufs V0 - Page 1 sur 2 - Caractéristiques et présentation sujettes à modifications sans préavis. Consommations - consommation annuelle d’énergie : 175 kWh - Indice d'éff",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/iQ300_Refrigerateurintegrableaveccompartimentcongelation_177.5x56cm_charnierespantographesSIEMENSKI82LVFE0_27.png?v=1769094066,,Réfrigérateur,Non classé
refrigerateur-pour-mercedes-actros-mp4-encastrable-blanc-indel-b-tb30am,"Réfrigérateur pour Mercedes Actros MP4, Encastrable, Blanc, INDEL B TB30AM",Indel B,649.0,793.0,144.0,18.0,"Réfrigérateur pour Mercedes Actros MP4, Encastrable, Blanc, INDEL B TB30AM Description: Le TB30AM de Indel B est le réfrigérateur à compresseur fabriquée sur mesure pour le camion Actross MP4 (Mercedes). Il se place dans le tiroir situé sous le lit du conducteur, laissant beaucoup d’espace à l’intérieur de cabine des camions. Le groupe réfrigérant est avec système anti- basculement. Le réfrigérateur TB30AM est doté du thermostat manuel et de charnières magnétiques, fermeture hermétique. L’installation est simple et rapide. Le refroidissement est assuré par le compresseur amovible hermétiquemen",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/RefrigerateurpourMercedesActrosMP4_Encastrable_Blanc_INDELBTB30AM.png?v=1770982342,Indel B,Réfrigérateur,Non classé
hotte-decoratives-murales-box-inox-60-cm-airlux-ahb682ix,Hotte Décoratives Murales Box Inox 60 CM Airlux AHB682IX,Airlux,215.0,359.0,144.0,40.0,"Hotte Décoratives Murales Box Inox 60 CM Airlux AHB682IX Puissance électrique d’installation : 81 W  10 A - 220/240 V - 50 Hz  Cordon d’alimentation : 180 cm - Avec prise  Diamètre de la sortie d’air : 150/120 mm  Produit H x l x P : 1240 x 600 x 500 mm  Distance min. hotte/plan de cuisson : 650*/700** mm  Produit emballé H x l x P : 660 x 660 x 405 mm  Poids net/brut : 14,5/16 kg • Évacuation ou recyclage • Débit maximum d’aspiration (norme EN61591) o en sortie libre : 650 m³/h o en évacuation : 606 m³/h • Pression à la vitesse maximale : 323 Pa • Niveau sonore à la vitesse min./max. (",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/getimage.ashx_2_ec66cf3a-f9fd-4d88-8beb-d5ce242fd465.jpg?v=1770115246,Airlux,Hotte,Maison et jardin > Arts de la table et arts culinaires > Électroménager de cuisine > Hottes aspirantes
serie-4-four-integrable-60-x-60-cm-noir-bosch-hba374bb1,"Série 4, Four intégrable, 60 x 60 cm, Noir BOSCH HBA374BB1",Bosch,731.0,874.64,143.64,16.0,"Série 4, Four intégrable, 60 x 60 cm, Noir BOSCH HBA374BB1 Nettoyage : Nettoyage pyrolyse Design : Ecran LED affichage rouge Boutons rotatifs, boutons escamotables Poignée inox Cavité intérieure en émail gris Intérieur de porte plein verre Type de four/Modes de cuisson Volume 71 l 7 modes de cuisson : Hotair 3D, convection naturelle, gril air pulsé, gril grande surface, position pizza, chaleur de sole, air pulsé doux Réglage de température : 50 °C - 275 °C AutoPilot 10 programmes automatiques Confort d'utilisation Horloge électronique Porte froide 4 vitres Très faible température de porte Préc",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_61d51b34-ae19-4345-8aaf-c783d39835fb.png?v=1769680717,Bosch,Four,Non classé
glaciere-congelateur-a-compresseur-dometic-cfx65w,Glacière-congélateur à compresseur Dometic CFX65W,Dometic,1016.0,1159.0,143.0,12.0,"Glacière-congélateur à compresseur Dometic CFX65W Caractéristiques Volume de stockage : 60 litres Coolfreeze – 12V/24V (+10°C/-22°C) Excellentes puissances de réfrigération même à des températures extérieures extrêmement élevées Fonction congélation jusqu’à -22 °C Fonctionnement extrêmement efficace et silencieux. Fonctionnement à l’énergie solaire Design ultra-résistant avec coins renforcés, charnières en acier inoxydable et revêtement robuste du couvercle Dispositif électronique spécial CFX avec affichage numérique de la température Contrôle de la température via une application Wi-Fi Spécif",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_11_2b9b89f6-491b-44bf-bbc3-11b458b52119.png?v=1771425335,Dometic,Glacière,Non classé
iq100-hotte-murale-60-cm-noir-avec-finition-en-verre-siemens-lc65kdk60,"iQ100, Hotte murale, 60 cm, Noir avec finition en verre SIEMENS LC65KDK60",Siemens,362.0,504.68,142.68,28.0,"iQ100, Hotte murale, 60 cm, Noir avec finition en verre SIEMENS LC65KDK60 Design: Hotte inclinée Hotte en verre noir En mode évacuation ou recyclage (avec kit en option) Un kit de recyclage est indispensable pour toute installation en mode recyclage Caractéristiques principales : Moteur à condensateur Eclairage du plan de travail: 2 x Eclairage LED Température de couleur : 4000 K Intensité lumineuse : 127 lux 1 filtre(s) à graisse métallique(s). Confort d'utilisation : Commande sensitive via Commande touchControl, rétroéclairé Touches, variateur de puissance à 4 vitesses dont 1 intensive Réini",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/22131494_lc65kdk60_stp_def.jpg?v=1770198988,Siemens,Hotte,Non classé
serie-4-table-a-induction-60-cm-noir-sans-cadre-bosch-puj611bb5e,"Série 4, Table à induction, 60 cm, Noir, sans cadre BOSCH PUJ611BB5E",Bosch,362.0,504.68,142.68,28.0,"Série 4, Table à induction, 60 cm, Noir, sans cadre BOSCH PUJ611BB5E Flexibilité des zones de cuisson Zone de cuisson arrière gauche : 280 mm, 2.6 kW (PowerBoost 3.7 kW) Zone de cuisson arrière droite : 145 mm , 1.4 kW (PowerBoost 2.2 kW) Zone de cuisson avant droite : 210 mm, 2.2 kW (PowerBoost 3.7 kW) Confort d'utilisation Commande TouchSelect (+/-) : contrôlez la puissance à l'aide de boutons tactiles 17 positions de réglage : adaptez précisément la puissance sur 17 niveaux (9 niveaux principaux et 8 intermédiaires) Timer avec fonction arrêt : éteint la zone de cuisson à la fin du temps pro",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Tableainduction_60cm_Noir_sanscadreBOSCHPUJ611BB5E.png?v=1769015694,Bosch,Plaque de cuisson,Non classé
iq100-table-a-induction-60-cm-siemens-eu611bjb5e,"iQ100, Table à induction, 60 cm SIEMENS EU611BJB5E",Siemens,362.0,504.68,142.68,28.0,"iQ100, Table à induction, 60 cm SIEMENS EU611BJB5E Design Design: sans cadre Flexibilité des zones de cuisson Zone de cuisson arrière gauche : 280 mm, 2.6 kW (PowerBoost 3.7 kW) Zone de cuisson arrière droite : 145 mm , 1.4 kW (PowerBoost 2.2 kW) Zone de cuisson avant droite : 210 mm, 2.2 kW (PowerBoost 3.7 kW) Confort d'utilisation Commande touchControl (+/-) : contrôlez la puissance à l'aide de boutons tactiles 17 positions de réglage : adaptez précisément la puissance sur 17 niveaux (9 niveaux principaux et 8 intermédiaires) quickStop : éteignez rapidement une zone de cuisson en appuyant lo",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/iQ100_Tableainduction_60cmSIEMENSEU611BJB5E.png?v=1768498750,Siemens,Plaque de cuisson,Non classé
serie-4-table-a-induction-60-cm-noir-sans-cadre-bosch-pue611bb5e,"Série 4, Table à induction, 60 cm, Noir, sans cadre BOSCH PUE611BB5E",Bosch,362.0,504.68,142.68,28.0,"Série 4, Table à induction, 60 cm, Noir, sans cadre BOSCH PUE611BB5E Flexibilité des zones de cuisson Zone de cuisson avant gauche : 180 mm, 1.8 kW (PowerBoost 3.1 kW) Zone de cuisson arrière gauche : 180 mm, 1.8 kW (PowerBoost 3.1 kW) Zone de cuisson arrière droite : 145 mm , 1.4 kW (PowerBoost 2.2 kW) Zone de cuisson avant droite : 210 mm, 2.2 kW (PowerBoost 3.7 kW) Confort d'utilisation Commande TouchSelect (+/-) : contrôlez la puissance à l'aide de boutons tactiles 17 positions de réglage : adaptez précisément la puissance sur 17 niveaux (9 niveaux principaux et 8 intermédiaires) Timer ave",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Tableainduction_60cm_Noir_sanscadreBOSCHPUE611BB5E.png?v=1769015529,Bosch,Plaque de cuisson,Non classé
